current_bpm,avg_bpm,min_bpm,max_bpm,std_bpm,change_bpm,label
89.23,83.93,80.45,97.59,3.66,1.03,NORMAL
86.38,85.26,79.39,93.84,1.5,3.42,NORMAL
85.88,79.65,76.78,91.82,1,6.61,NORMAL
78.76,81.65,71.99,86.74,3.01,6.87,NORMAL
66.14,69.29,62.33,75.41,4.49,0.54,NORMAL
70.56,74.87,65.86,80.61,2.79,0.98,NORMAL
109.46,80.62,51.45,114.58,13.73,8.95,UNUSUAL_PATTERN
77.68,77.56,73.11,83.97,4.03,-3.34,NORMAL
70.4,67.63,65.93,76.27,2.1,-3.87,NORMAL
40.25,62.81,42.72,90.66,12.74,-25.4,UNUSUAL_PATTERN
46.39,50.89,35.87,73.84,16.85,-19.07,UNUSUAL_PATTERN
86.32,85.58,78.3,93.13,2.49,4.06,NORMAL
70.95,73.91,63.78,79.68,5.21,-5.95,NORMAL
63.27,76.11,48.99,116.14,16.66,-2.35,UNUSUAL_PATTERN
112.63,93.95,72.13,122.4,5.21,7.99,UNUSUAL_PATTERN
67.73,68.34,62.11,73.99,6.11,-4.11,NORMAL
55.79,73.7,50.44,119.22,27.77,-8.09,UNUSUAL_PATTERN
83.89,79.23,75.95,84.95,3.17,-1.15,NORMAL
71.7,76.25,63.21,81.96,3.44,-1.95,NORMAL
83.66,78.56,78.06,90.13,4.77,-0.01,NORMAL
64.57,66.5,61.39,73.28,7.55,-3.95,NORMAL
49.44,89.35,45.97,112.06,15.38,8.09,UNUSUAL_PATTERN
64.5,66.09,59.35,73.06,5.64,-10.73,NORMAL
101.56,98.78,79.23,124.58,11.55,15.15,UNUSUAL_PATTERN
80.43,77.0,76.64,81.57,1,3.06,NORMAL
50.35,68.44,39.32,83.02,2.34,-12.1,UNUSUAL_PATTERN
93.45,93.33,89.45,103.43,4.38,-1.74,NORMAL
73.97,76.88,65.92,79.26,3.58,-1.28,NORMAL
55.7,73.57,44.89,115.94,16.96,-16.95,UNUSUAL_PATTERN
